#,Company,Symbol,Weight,Price,Change,,,,,,,,,,,,,,,,,#
51,NIKE Inc. Class B,NKE,0.43972,87.53,-0.01 (-0.01%),,,,,,,,,,,,,,,,,
52,Linde plc,LIN,0.434945,200.96,0.00 (0.00%),,,,,,,,,,,,,,,,,
53,Amgen Inc.,AMGN,0.425726,176.15,0.81 (0.46%),,,,,,,,,,,,,,,,,
54,NVIDIA Corporation,NVDA,0.423282,175.07,0.00 (0.00%),,,,,,,,,,,,,,,,,
55,3M Company,MMM,0.411633,173.56,-0.42 (-0.24%),,,,,,,,,,,,,,,,,
56,NextEra Energy Inc.,NEE,0.398637,209.17,0.00 (0.00%),,,,,,,,,,,,,,,,,
57,AbbVie Inc.,ABBV,0.395057,67.6,-0.16 (-0.24%),,,,,,,,,,,,,,,,,
58,Eli Lilly and Company,LLY,0.373464,108.27,0.00 (0.00%),,,,,,,,,,,,,,,,,
59,Altria Group Inc,MO,0.371943,49.86,0.00 (0.00%),,,,,,,,,,,,,,,,,
60,QUALCOMM Incorporated,QCOM,0.367219,74.99,-0.23 (-0.31%),,,,,,,,,,,,,,,,,
61,Lockheed Martin Corporation,LMT,0.364887,369.22,-0.24 (-0.06%),,,,,,,,,,,,,,,,,
62,General Electric Company,GE,0.364639,10.45,-0.06 (-0.57%),,,,,,,,,,,,,,,,,
63,American Tower Corporation,AMT,0.364001,204,-0.59 (-0.29%),,,,,,,,,,,,,,,,,
64,Danaher Corporation,DHR,0.3617,142.76,0.48 (0.34%),,,,,,,,,,,,,,,,,
65,American Express Company,AXP,0.350586,126.78,0.00 (0.00%),,,,,,,,,,,,,,,,,
66,U.S. Bancorp,USB,0.339339,57.3,-0.08 (-0.14%),,,,,,,,,,,,,,,,,
67,Gilead Sciences Inc.,GILD,0.338925,66.4,-0.52 (-0.78%),,,,,,,,,,,,,,,,,
68,Booking Holdings Inc.,BKNG,0.334296,1963,-3.85 (-0.20%),,,,,,,,,,,,,,,,,
69,United Parcel Service Inc. Class B,UPS,0.330672,120.58,0.00 (0.00%),,,,,,,,,,,,,,,,,
70,Lowe's Companies Inc.,LOW,0.320299,103.5,-0.03 (-0.03%),,,,,,,,,,,,,,,,,
71,Mondelez International Inc. Class A,MDLZ,0.314963,54.81,0.00 (0.00%),,,,,,,,,,,,,,,,,
72,Caterpillar Inc.,CAT,0.309127,132.82,-0.10 (-0.08%),,,,,,,,,,,,,,,,,
73,Anthem Inc.,ANTM,0.30307,301,1.02 (0.34%),,,,,,,,,,,,,,,,,
74,Goldman Sachs Group Inc.,GS,0.299998,222,-0.14 (-0.06%),,,,,,,,,,,,,,,,,
