Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,MYL,0,0,0,0,9520000000.0,23190000000.0,40.13,4.09,0.88,0.85,0.8,2.06,6.55,2.14,14.7,3.08,1.92,11240000000.0,21.85,-7.0,4570000000.0,3540000000.0,240400000.0,0.46,,302600000.0,0.59,13980000000.0,117.53,1.51,23.03,1680000000.0,1720000000.0,2.1,18.45,24.54,7860000.0,515460000.00000006,512650000.0,1.08,86.25,17040000.0,2.72,4.4,11890000.0
0,0,NBL,0,0,0,0,9920000000.0,17530000000.0,,24.41,-6.19,2.08,1.08,3.67,6.63,-19.51,13.17,1.8,-7.85,4780000000.0,9.95,-16.5,3790000000.0,2640000000.0,-933000000.0,-1.94,,528000000.0,1.12,7060000000.0,68.94,0.64,19.15,2280000000.0,-415120000.0,1.78,21.33,23.07,5200000.0,477640000.0,467770000.0,1.36,100.12,33200000.000000004,6.4,10.29,29380000.0
0,0,NBR,0,0,0,0,798940000.0,4510000000.0,,-4.89,-0.06,0.26,0.31,1.44,5.72,-19.67,-2.45,-0.6,-18.58,3120000000.0,9.06,8.9,1080000000.0,788340000.0,-635390000.0,-1.888,,469720000.0,1.29,3710000000.0,121.18,2.12,7.12,477310000.0,205520000.0,3.18,2.4691,3.0848,14340000.0,363160000.0,338970000.0,6.96,88.36,51520000.0,3.14,17.05,42920000.0
0,0,NDAQ,0,0,0,0,16250000000.0,19480000000.0,30.42,18.29,3.65,3.87,2.93,4.64,15.18,12.86,25.79,4.63,9.74,4200000000.0,25.46,3.3,2530000000.0,1280000000.0,540000000.0,3.22,7.4,592000000.0,3.58,3830000000.0,69.03,0.96,33.52,,,0.72,99.08,90.78,1050000.0,165700000.0,115990000.0,18.37,81.94,2700000.0,3.48,2.33,3190000.0
0,0,NE,0,0,0,0,483360000.0,4580000000.0,,-1.53,-0.53,0.45,0.12,4.25,12.73,-75.51,-10.01,-0.7,-20.51,1080000000.0,4.36,18.1,406140000.0,359450000.0,-809780000.0,-3.292,,187090000.0,0.75,3880000000.0,84.61,0.77,16.79,76160000.0,-38030000.0,2.78,1.8262,2.6008,5850000.0,249160000.0,227560000.0,1.59,89.88,25190000.0,4.73,13.86,26200000.0
0,0,NEE,0,0,0,0,100210000000.0,144500000000.0,30.06,23.11,3.1,5.61,2.87,8.1,15.69,18.71,26.65,2.89,8.04,17850000000.0,37.42,22.3,9660000000.0,9210000000.0,3340000000.0,6.96,58.0,1020000000.0,2.13,41720000000.0,108.37,0.52,72.86,6940000000.0,-11220000000.0,0.15,207.27,193.22,1750000.0,478940000.0,478080000.0,0.19,79.19,5490000.0,3.05,1.15,4760000.0
0,0,NEM,0,0,0,0,30560000000.0,36650000000.0,,21.55,2.19,3.9,1.58,4.68,12.8,-1.03,13.06,2.22,0.25,7830000000.0,13.24,35.8,3250000000.0,2860000000.0,-50000000.0,-0.14,,1850000000.0,2.26,6920000000.0,33.95,1.83,23.6,2040000000.0,991250000.0,-0.08,37.96,34.51,8990000.0,533490000.0,817190000.0,0.55,90.95,13620000.0,1.52,3.45,12860000.0
0,0,NFLX,0,0,0,0,147020000000.0,155690000000.0,132.2,59.01,2.11,8.34,24.08,8.83,79.62,6.53,10.56,4.41,21.72,17630000000.0,40.37,26.0,5830000000.0,1960000000.0,1150000000.0,2.54,-29.6,5000000000.0,11.43,13680000000.0,224.03,0.85,13.94,-2850000000.0,14700000000.0,1.39,356.0,356.08,6710000.0,437220000.0,431240000.0,1.74,77.15,18350000.0,3.54,4.3,18670000.0
0,0,NFX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,NI,0,0,0,0,11010000000.0,21000000000.0,,21.22,4.96,2.1,2.25,4.01,30.67,-2.06,2.08,0.32,-2.1,5230000000.0,14.32,6.8,1050000000.0,684900000.0,-136600000.0,-0.37,-20.7,156600000.0,0.42,9270000000.0,160.45,0.48,13.14,551000000.0,-959480000.0,0.3,29.14,27.89,2640000.0,337740000.0,371320000.0,0.4,95.32,15850000.0,6.53,5.9,15700000.0
